Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Skoda Elroq,768,2026,M08,1001.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Tesla Model Y,693,2026,M08,1002.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Toyota bZ4X,674,2026,M08,1000.0,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,Personbil
Skoda Enyaq iV,497,2026,M08,1006.0,Skoda,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.4,477,2026,M08,1005.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Toyota Urban Cruiser,465,2026,M08,1004.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Personbil
Citroen C3,462,2026,M08,1012.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault R5,351,2026,M08,1008.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Xpeng G6,342,2026,M08,1015.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
BMW iX3,334,2026,M08,1224.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota C-HR+,323,2026,M08,,Toyota,Toyota Motor Corporation,Japan,El,Nul-emission,SUV/Crossover
Citroen C5 Aircross,312,2026,M08,1032.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Mercedes-Benz GLC,307,2026,M08,1076.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
BMW iX1,282,2026,M08,1009.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Mercedes-Benz GLB,275,2026,M08,1088.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Tesla Model 3,274,2026,M08,1179.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Volkswagen ID. Polo,266,2026,M08,,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID. Buzz,263,2026,M08,1010.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Mercedes-Benz CLA,256,2026,M08,1022.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Zeekr 7GT,241,2026,M08,,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Renault Scenic,240,2026,M08,1021.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Audi Q4 e-tron,231,2026,M08,1003.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Cupra Raval,229,2026,M08,,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volkswagen ID.3 Neo,222,2026,M08,,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volvo EX30,221,2026,M08,1056.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 5'er,183,2026,M08,1063.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Peugeot 208,169,2026,M08,1024.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Renault Twingo,156,2026,M08,,Renault,Renault Group,Frankrig,El,Nul-emission,Personbil
Volkswagen ID.7,150,2026,M08,1017.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Kia EV2,149,2026,M08,,Kia,Hyundai Motor Group,Sydkorea,El,Nul-emission,SUV/Crossover
Kia EV3,146,2026,M08,1033.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Volkswagen T-Roc,146,2026,M08,1080.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Nissan Qashqai,144,2026,M08,1035.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Zeekr 7X,144,2026,M08,1028.0,Zeekr,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Ford Explorer,141,2026,M08,1023.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Volvo EX40,140,2026,M08,1018.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,SUV/Crossover
BMW 3'er,133,2026,M08,1051.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Cupra Born,133,2026,M08,1007.0,Cupra,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Cupra Leon,128,2026,M08,1100.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki Vitara,126,2026,M08,1029.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Citroen C3 Aircross,122,2026,M08,1014.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Cupra Tavascan,120,2026,M08,1065.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Mercedes-Benz Sprinter,120,2026,M08,1134.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
MG S6 EV,116,2026,M08,1101.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
MG 4,113,2026,M08,1037.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Kia EV5,108,2026,M08,1164.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Renault R4,105,2026,M08,1016.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Cupra Formentor,104,2026,M08,1062.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Audi A6 e-tron,103,2026,M08,1038.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Xpeng P7+,103,2026,M08,,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Peugeot 2008,102,2026,M08,1030.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mazda 6e,98,2026,M08,1019.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Hyundai Kona,97,2026,M08,1043.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,SUV/Crossover
Kia PV5,92,2026,M08,1066.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Leapmotor B10,92,2026,M08,1031.0,Leapmotor,Leapmotor,Kina,El,Nul-emission,Personbil
Nissan Micra,89,2026,M08,1055.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
MG S5,88,2026,M08,1046.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Suzuki Swift,84,2026,M08,1034.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,Personbil
Ford Puma,83,2026,M08,1054.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Mercedes-Benz GLA,82,2026,M08,1090.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Audi Q6 e-tron,80,2026,M08,1160.0,Audi,Volkswagen Group,Tyskland,El,Nul-emission,SUV/Crossover
Toyota Yaris Cross,76,2026,M08,1020.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Xpeng G9,76,2026,M08,1068.0,Xpeng,XPeng,Kina,El,Nul-emission,Personbil
Peugeot 5008,72,2026,M08,1039.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
BMW i5,70,2026,M08,1049.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Polestar 4,70,2026,M08,1048.0,Polestar,Geely (Lynk & Co),Kina,El,Nul-emission,Personbil
Hyundai Ioniq 5,67,2026,M08,1050.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Jaecoo J5,66,2026,M08,1116.0,Jaecoo,Chery Group,Kina,Benzin,Fossil,Personbil
MG ZS,66,2026,M08,1040.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Nissan Leaf,60,2026,M08,1318.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
BMW X1,59,2026,M08,1013.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Deepal S05,57,2026,M08,,Deepal,Changan Automobile,Kina,El,Nul-emission,SUV/Crossover
Opel Frontera,57,2026,M08,1077.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Hyundai Inster,54,2026,M08,1061.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Audi Q3,53,2026,M08,1099.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Skoda Karoq,52,2026,M08,1094.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BMW i4,50,2026,M08,1045.0,BMW,BMW Group,Tyskland,El,Nul-emission,Personbil
Audi Q5,49,2026,M08,1137.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Honda e:Ny1,49,2026,M08,1086.0,Honda,Honda Motor Co.,Japan,El,Nul-emission,Personbil
BMW 4'er,48,2026,M08,1185.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mazda CX-6e,48,2026,M08,,Mazda,Mazda Motor Corporation,Japan,El,Nul-emission,SUV/Crossover
Nissan Juke,47,2026,M08,1103.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,SUV/Crossover
Subaru E-Outback,47,2026,M08,,Subaru,Subaru Corporation,Japan,El,Nul-emission,SUV/Crossover
Mercedes-Benz EQA,45,2026,M08,1026.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
BMW X3,44,2026,M08,1141.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Dolphin Surf,40,2026,M08,1095.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BYD Sealion 7,40,2026,M08,1096.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Hyundai Ioniq 6,39,2026,M08,1133.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Opel Grandland,39,2026,M08,1072.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Audi A3,37,2026,M08,1064.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Suzuki SX4,37,2026,M08,1131.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Toyota Yaris,37,2026,M08,1057.0,Toyota,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Kia EV9,36,2026,M08,1058.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BYD Tang,35,2026,M08,1126.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Mini 3-dørs,35,2026,M08,1083.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
BYD Seal U,33,2026,M08,1104.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Ford Capri,33,2026,M08,1052.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
Volkswagen Passat,33,2026,M08,1125.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Tourneo Custom,32,2026,M08,1082.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Kia EV6,31,2026,M08,1069.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
BMW iX2,30,2026,M08,1087.0,BMW,BMW Group,Tyskland,El,Nul-emission,SUV/Crossover
Porsche Macan,27,2026,M08,1119.0,Porsche,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
BYD Atto 3 Evo,26,2026,M08,,BYD,BYD Auto,Kina,El,Nul-emission,SUV/Crossover
Mercedes-Benz C-Klasse,26,2026,M08,1098.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Cupra Terramar,25,2026,M08,1044.0,Cupra,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Transit,25,2026,M08,1091.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Mercedes-Benz A-Klasse,25,2026,M08,1123.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Subaru Solterra,24,2026,M08,1113.0,Subaru,Subaru Corporation,Japan,Benzin,Fossil,Personbil
BYD Atto 2,21,2026,M08,1106.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
BYD Dolphin,21,2026,M08,1187.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
